scenario,price,%chg_vs_base,note,dy_bp,est_price_dur,est_price_durconv,err_dur,err_durconv
Base,925.6126256977221,0.0,,0.0,925.6126256977221,925.6126256977221,0.0,0.0
Parallel +50bp,890.9549038979936,-3.7443008919204934,,50.0,890.1383034402339,890.9688719052962,0.816600457759705,-0.013968007302537444
Parallel +100bp,857.8759669804781,-7.31803530296321,,100.0,854.6639811827457,857.9862550429947,3.211985797732382,-0.11028806251658807
Parallel -50bp,961.9318696655597,3.9238060241950867,,-50.0,961.0869479552102,961.9175164202725,0.8449217103494675,0.014353245287225036
Parallel -100bp,1000.0000000000014,8.03655570776234,,-100.0,996.5612702126986,999.8835440729476,3.4387297873028047,0.1164559270537211
"Steepener (≤2y +100bp, ≥10y +30bp)",899.5026468886016,-2.8208321801400427,tenor-dependent shock,,,,,
"Flattener (≤2y +30bp, ≥10y +100bp)",862.9152499076054,-6.773608532279452,tenor-dependent shock,,,,,
"Same nominal j, m=4",922.4266544953814,-0.34420135528501206,changes compounding frequency only,,,,,
"Same nominal j, m=1",931.8387884175684,0.6726531755282483,changes compounding frequency only,,,,,
